Game,Year,Developer,Publisher,Film
Green Lantern: Rise of the Manhunters,2011,Double Helix Games,Warner Bros. Interactive Entertainment[20],Green Lantern
Gremlins,1984,Atari,Atari,Gremlins
The New Batch,1990,"Sunsoft, Riedel Software Productions, Motivetime, Topo Soft","Sunsoft, Hi-Tech Expressions, Elite Systems, Topo Soft",Gremlins 2: The New Batch
The Grinch,2000,Artificial Mind & Movement (DC & PS),Konami,How the Grinch Stole Christmas
Halloween,1983,,Wizard Video,Halloween film series
Happy Feet,2006,Artificial Mind and Movement,Midway Games,Happy Feet
Harry Potter and the Philosopher's Stone,2001,"Griptonite Games (GBA, GBC)[21][22]",EA Games,Harry Potter and the Philosopher's Stone
Harry Potter and the Chamber of Secrets,2002,"Eurocom (GBA, GC, PS2, Xbox)[l]",EA Games,Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban,2004,Griptonite Games (GBA),EA Games,Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire,2005,EA UK,Electronic Arts,Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix,2007,EA UK,Electronic Arts,Harry Potter and the Order of the Phoenix
Harry Potter and the Half-Blood Prince,2009,EA Bright Light,Electronic Arts,Harry Potter and the Half-Blood Prince
Harry Potter and the Deathly Hallows  Part 1,2010,EA Bright Light,Electronic Arts,Harry Potter and the Deathly Hallows  Part 1
Harry Potter and the Deathly Hallows  Part 2,2011,EA Bright Light,Electronic Arts,Harry Potter and the Deathly Hallows  Part 2
Disney's Hercules,1997,"Eurocom (PC, PlayStation)",Virgin Interactive (PlayStation NTSC),Hercules
High School Musical: Makin' the Cut!,2007,A2M,Disney Interactive Studios,High School Musical
High School Musical 2: Work This Out!,2008,Artificial Mind and Movement,Disney Interactive Studios,High School Musical 2
Senior Year,2008,Griptonite Games,Disney Interactive Studios,High School Musical 3: Senior Year
Highlander,1986,"Canvas (Roy Gibson, Simon Butler, Steven Cain, Martin Calvert)[27]",Ocean Software Ltd,Highlander
Home Alone,1991,Bethesda Softworks (NES),Toy Headquarters,Home Alone
Home Alone 2,1992,Imagineering,Toy Headquarters,Home Alone 2: Lost in New York
Hook,1992,various,various,Hook
How to Train Your Dragon,2010,Etranges Libellules,Activision,How to Train Your Dragon
Howard the Duck,1986,Alternative Software,Activision,Howard the Duck
Hudson Hawk,1991,Special FX Ltd.,Ocean Software,Hudson Hawk
Hulk,2003,Radical Entertainment,Universal Interactive,Hulk
The Hunchback of Notre Dame: Topsy Turvy Games,1996,Disney Interactive,,The Hunchback of Notre Dame
The Hunt for Red October,1990,Images Software Ltd.,Grandslam Interactive Ltd.,The Hunt for Red October
Ice Age,2002,Artificial Mind and Movement,Ubi Soft,Ice Age
The Meltdown,2006,"Eurocom (PS2, GC, Xbox, Wii, Microsoft Windows)",Vivendi Universal Games[m],Ice Age: The Meltdown
Dawn of the Dinosaurs,2009,EurocomArtificial Mind & Movement (DS),Activision,Ice Age: Dawn of the Dinosaurs
Ice Age: Continental Drift  Arctic Games,2012,Behaviour Interactive,Activision,Ice Age: Continental Drift
Ice Nine,2005,Torus Games,BAM! Entertainment,The Recruit
The Incredible Hulk,2008,Edge of Reality,Sega,The Incredible Hulk
The Incredibles,2004,Heavy Iron Studios,THQ,The Incredibles
The Incredibles: Rise of the Underminer,2005,"Heavy Iron Studios(PS2, Xbox, GC)",THQSega,The Incredibles
Independence Day,1997,Radical Entertainment,Fox Interactive,Independence Day
Indiana Jones and the Last Crusade,1991,Software Creations,Taito,Indiana Jones and the Last Crusade
Indiana Jones and the Last Crusade: The Action Game,1989,Tiertex Design Studios,U.S. Gold,Indiana Jones and the Last Crusade
Indiana Jones and the Last Crusade: The Graphic Adventure,1989,Lucasfilm Games,Lucasfilm Games,Indiana Jones and the Last Crusade
