name,year,developer,publisher,film,rank,platform,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales
Iron Man 2,2010,"Sega Studios San Francisco (Xbox 360, PlayStation 3, Nintendo DS)",Sega,Iron Man 2,4825,PS3,Action,0.14,0.19,0.0,0.07,0.4
Iron Man 2,2010,"Sega Studios San Francisco (Xbox 360, PlayStation 3, Nintendo DS)",Sega,Iron Man 2,5042,PSP,Action,0.18,0.12,0.0,0.07,0.38
Iron Man 2,2010,"Sega Studios San Francisco (Xbox 360, PlayStation 3, Nintendo DS)",Sega,Iron Man 2,5371,DS,Action,0.15,0.16,0.0,0.03,0.34
Iron Man 2,2010,"Sega Studios San Francisco (Xbox 360, PlayStation 3, Nintendo DS)",Sega,Iron Man 2,5462,Wii,Action,0.15,0.15,0.0,0.03,0.33
Iron Man 2,2010,"Sega Studios San Francisco (Xbox 360, PlayStation 3, Nintendo DS)",Sega,Iron Man 2,6284,X360,Action,0.15,0.1,0.0,0.03,0.27
The Italian Job,2003,Climax Brighton,Eidos Interactive,The Italian Job (2003),7083,PS2,Racing,0.11,0.09,0.0,0.03,0.23
The Italian Job,2003,Climax Brighton,Eidos Interactive,The Italian Job (2003),11449,XB,Racing,0.06,0.02,0.0,0.0,0.08
The Italian Job,2003,Climax Brighton,Eidos Interactive,The Italian Job (2003),14208,GC,Racing,0.03,0.01,0.0,0.0,0.03
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda,459,X360,Action,1.91,0.84,0.0,0.29,3.05
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda,1571,DS,Action,0.56,0.57,0.0,0.14,1.26
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda,2259,Wii,Action,0.5,0.32,0.0,0.09,0.92
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda,3098,PS2,Action,0.24,0.0,0.0,0.41,0.65
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda,3855,PS3,Action,0.21,0.21,0.0,0.09,0.52
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda,15035,PC,Action,0.0,0.02,0.0,0.0,0.02
Kung Fu Panda 2,2011,Griptonite Games,THQ,Kung Fu Panda 2,6653,X360,Action,0.16,0.07,0.0,0.02,0.25
Kung Fu Panda 2,2011,Griptonite Games,THQ,Kung Fu Panda 2,6982,DS,Action,0.16,0.05,0.0,0.02,0.23
Kung Fu Panda 2,2011,Griptonite Games,THQ,Kung Fu Panda 2,9020,Wii,Action,0.08,0.05,0.0,0.01,0.14
Kung Fu Panda 2,2011,Griptonite Games,THQ,Kung Fu Panda 2,10683,PS3,Action,0.04,0.04,0.0,0.02,0.1
Kung Fu Panda: Legendary Warriors,2008,Artificial Mind and Movement,Activision,Kung Fu Panda franchise,11732,Wii,Action,0.07,0.0,0.0,0.0,0.08
Kung Fu Panda: Legendary Warriors,2008,Artificial Mind and Movement,Activision,Kung Fu Panda franchise,14573,DS,Action,0.02,0.0,0.0,0.0,0.03
Kung Fu Panda: Showdown of Legendary Legends,2015,Vicious Cycle Software,Little Orbit,Kung Fu Panda franchise,14548,X360,Action,0.0,0.03,0.0,0.0,0.03
Kung Fu Panda: Showdown of Legendary Legends,2015,Vicious Cycle Software,Little Orbit,Kung Fu Panda franchise,15174,PS3,Action,0.0,0.02,0.0,0.0,0.02
Kung Fu Panda: Showdown of Legendary Legends,2015,Vicious Cycle Software,Little Orbit,Kung Fu Panda franchise,15339,3DS,Action,0.0,0.02,0.0,0.0,0.02
Land of the Dead: Road to Fiddler's Green,2005,Brainbox Games,Groove Games,Land of the Dead,12355,XB,Shooter,0.05,0.01,0.0,0.0,0.06
The Last Airbender,2010,THQ Studio Australia (Wii),THQ,The Last Airbender,7445,Wii,Action,0.12,0.07,0.0,0.02,0.21
The Last Airbender,2010,THQ Studio Australia (Wii),THQ,The Last Airbender,8007,DS,Action,0.13,0.04,0.0,0.01,0.18
Lemony Snicket's A Series of Unfortunate Events,2004,Adrenium Games (console),Activision,Lemony Snicket's A Series of Unfortunate Events,3182,PS2,Platform,0.31,0.24,0.0,0.08,0.64
Lemony Snicket's A Series of Unfortunate Events,2004,Adrenium Games (console),Activision,Lemony Snicket's A Series of Unfortunate Events,4613,GBA,Platform,0.3,0.11,0.0,0.01,0.42
Lemony Snicket's A Series of Unfortunate Events,2004,Adrenium Games (console),Activision,Lemony Snicket's A Series of Unfortunate Events,6580,GC,Platform,0.2,0.05,0.0,0.01,0.26
Lemony Snicket's A Series of Unfortunate Events,2004,Adrenium Games (console),Activision,Lemony Snicket's A Series of Unfortunate Events,9730,XB,Platform,0.09,0.03,0.0,0.0,0.12
The Lord of the Rings: Aragorn's Quest,2010,Headstrong Games,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy,6852,Wii,Action,0.17,0.05,0.0,0.02,0.24
The Lord of the Rings: Aragorn's Quest,2010,Headstrong Games,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy,8300,PS3,Action,0.1,0.04,0.0,0.02,0.17
The Lord of the Rings: Aragorn's Quest,2010,Headstrong Games,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy,9755,DS,Action,0.1,0.02,0.0,0.01,0.12
The Lord of the Rings: Aragorn's Quest,2010,Headstrong Games,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy,9944,PSP,Action,0.07,0.02,0.0,0.02,0.12
The Lord of the Rings: Aragorn's Quest,2010,Headstrong Games,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy,12760,PS2,Action,0.03,0.02,0.0,0.01,0.06
The Lord of the Rings: War in the North,2011,Snowblind Studios,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy,7998,PC,Action,0.04,0.11,0.0,0.03,0.18
Madagascar,2005,Toys for Bob[o],Activision,Madagascar,1507,PS2,Platform,0.78,0.45,0.0,0.07,1.31
Madagascar,2005,Toys for Bob[o],Activision,Madagascar,2326,GBA,Platform,0.62,0.24,0.0,0.03,0.89
Madagascar,2005,Toys for Bob[o],Activision,Madagascar,3067,GC,Platform,0.52,0.13,0.0,0.02,0.66
Madagascar,2005,Toys for Bob[o],Activision,Madagascar,5777,DS,Platform,0.25,0.04,0.0,0.03,0.31
Madagascar,2005,Toys for Bob[o],Activision,Madagascar,6225,XB,Platform,0.21,0.06,0.0,0.01,0.28
Madagascar: Operation Penguin,2005,Vicarious Visions,Activision,Madagascar,4090,GBA,Action,0.35,0.13,0.0,0.01,0.48
Men in Black II: Alien Escape,2002,Infogrames Melbourne House[p],Infogrames,Men in Black II,4013,PS2,Shooter,0.24,0.19,0.0,0.06,0.5
Minority Report: Everybody Runs,2002,Treyarch,Activision,Minority Report,4779,PS2,Action,0.2,0.15,0.0,0.05,0.41
Minority Report: Everybody Runs,2002,Treyarch,Activision,Minority Report,10577,GC,Action,0.08,0.02,0.0,0.0,0.1
Minority Report: Everybody Runs,2002,Treyarch,Activision,Minority Report,10814,XB,Action,0.07,0.02,0.0,0.0,0.1
Minority Report: Everybody Runs,2002,Treyarch,Activision,Minority Report,13967,GBA,Action,0.03,0.01,0.0,0.0,0.04
Monster House,2006,Artificial Mind and Movement,THQ,Monster House,8672,DS,Adventure,0.14,0.01,0.0,0.01,0.16
Monster House,2006,Artificial Mind and Movement,THQ,Monster House,9045,PS2,Adventure,0.07,0.05,0.0,0.02,0.14
Monster House,2006,Artificial Mind and Movement,THQ,Monster House,9165,GC,Adventure,0.11,0.03,0.0,0.0,0.14
Monster House,2006,Artificial Mind and Movement,THQ,Monster House,11249,GBA,Adventure,0.06,0.02,0.0,0.0,0.09
Monsters vs. Aliens,2009,Beenox,Activision,Monsters vs. Aliens,3912,DS,Action,0.33,0.13,0.0,0.05,0.51
Monsters vs. Aliens,2009,Beenox,Activision,Monsters vs. Aliens,5811,PS3,Action,0.21,0.06,0.0,0.03,0.31
Monsters vs. Aliens,2009,Beenox,Activision,Monsters vs. Aliens,6543,Wii,Action,0.14,0.09,0.0,0.03,0.26
Monsters vs. Aliens,2009,Beenox,Activision,Monsters vs. Aliens,7920,PS2,Action,0.11,0.0,0.0,0.08,0.19
Monsters vs. Aliens,2009,Beenox,Activision,Monsters vs. Aliens,8367,X360,Action,0.12,0.03,0.0,0.01,0.17
Monsters vs. Aliens,2009,Beenox,Activision,Monsters vs. Aliens,14630,PC,Action,0.01,0.01,0.0,0.0,0.03
Napoleon Dynamite: The Game,2007,7 Studios,Crave Entertainment,Napoleon Dynamite,14009,PSP,Puzzle,0.03,0.0,0.0,0.0,0.04
Napoleon Dynamite: The Game,2007,7 Studios,Crave Entertainment,Napoleon Dynamite,14902,DS,Puzzle,0.02,0.0,0.0,0.0,0.03
Open Season,2006,Ubisoft Montreal,Ubisoft,Open Season,8232,GC,Platform,0.13,0.03,0.0,0.0,0.17
Open Season,2006,Ubisoft Montreal,Ubisoft,Open Season,9304,DS,Platform,0.12,0.0,0.0,0.01,0.14
Open Season,2006,Ubisoft Montreal,Ubisoft,Open Season,10115,X360,Platform,0.1,0.0,0.0,0.01,0.11
Open Season,2006,Ubisoft Montreal,Ubisoft,Open Season,11685,PSP,Platform,0.07,0.0,0.0,0.01,0.08
Open Season,2006,Ubisoft Montreal,Ubisoft,Open Season,11956,Wii,Platform,0.06,0.0,0.0,0.01,0.07
Open Season,2006,Ubisoft Montreal,Ubisoft,Open Season,14866,PS2,Platform,0.01,0.01,0.0,0.0,0.03
Over the Hedge,2006,Vicarious Visions,Activision,Over the Hedge,3746,PS2,Platform,0.45,0.02,0.0,0.07,0.54
Over the Hedge,2006,Vicarious Visions,Activision,Over the Hedge,5345,GC,Platform,0.27,0.07,0.0,0.01,0.35
Over the Hedge,2006,Vicarious Visions,Activision,Over the Hedge,6214,DS,Platform,0.25,0.01,0.0,0.02,0.28
Over the Hedge,2006,Vicarious Visions,Activision,Over the Hedge,6326,GBA,Platform,0.19,0.07,0.0,0.0,0.27
Over the Hedge,2006,Vicarious Visions,Activision,Over the Hedge,10671,XB,Platform,0.07,0.02,0.0,0.0,0.1
Over the Hedge: Hammy Goes Nuts!,2006,Vicarious Visions (Game Boy Advance version),Activision,Over the Hedge,9402,DS,Platform,0.12,0.0,0.0,0.01,0.13
Over the Hedge: Hammy Goes Nuts!,2006,Vicarious Visions (Game Boy Advance version),Activision,Over the Hedge,13073,PSP,Platform,0.05,0.0,0.0,0.0,0.05
Planet of the Apes,2001,Visiware (PC and PlayStation),Ubisoft,Planet of the Apes,14563,GBA,Action,0.02,0.01,0.0,0.0,0.03
The Polar Express,2004,Blue Tongue Entertainment,THQ,The Polar Express,7116,PS2,Adventure,0.11,0.09,0.0,0.03,0.23
The Polar Express,2004,Blue Tongue Entertainment,THQ,The Polar Express,7848,GBA,Adventure,0.14,0.05,0.0,0.0,0.19
