Game,Year,Developer,Publisher,Film
TheLastAirbender,,THQStudioAustraliaWii,THQ,TheLastAirbender
TheLawnmowerMan,,TheSalesCurve,SNES,TheLawnmowerMan
TheOwlsofGaHoole,,KromeStudios,WarnerBrosInteractiveEntertainment,LegendoftheGuardiansTheOwlsofGaHoole
LegoTheHobbit,,TravellersTales,WarnerBrosInteractiveEntertainment,AnUnexpectedJourneyandTheDesolationofSmaug
LegoJurassicWorld,,TTFusion,WarnerBrosInteractiveEntertainment,JurassicWorld
LegoMarvelsAvengers,,TravellersTales,WarnerBrosInteractiveEntertainment,severalMarvelCinematicUniversefilms
LegoStarWarsTheSkywalkerSaga,,TravellersTales,WarnerBrosInteractiveEntertainment,SkywalkerSagafilms
TheLegoBatmanMovieGame,,TheLegoGroup,WarnerBrosInteractiveEntertainment,TheLegoBatmanMovie
TheLegoMovieVideogame,,TTFusion,WarnerBrosInteractiveEntertainment,TheLegoMovie
TheLegoMovieVideogame,,TravellersTales,WarnerBrosInteractiveEntertainment,TheLegoMovie
TheLegoNinjagoMovieVideoGame,,TTFusion,WarnerBrosInteractiveEntertainment,TheLegoNinjagoMovie
LegoTheLordoftheRings,,TravellersTales,WarnerBrosInteractiveEntertainment,TheLordoftheRingsfilmtrilogy
LemonySnicketsASeriesofUnfortunateEvents,,AdreniumGamesconsole,Activision,LemonySnicketsASeriesofUnfortunateEvents
LethalWeapon,,OceanSoftware,OceanSoftware,LethalWeapon
LiloStitchTroubleinParadise,,BlitzGames,SonyComputerEntertainmentPS,LiloStitch
TheLionKing,,WestwoodStudios,VirginInteractiveEntertainmentn,TheLionKing
TheLionKing,,VicariousVisions,DisneyInteractive,TheLionKing
TheLionKingSimbasMightyAdventure,,ParadoxDevelopmentPS,Activision,TheLionKing
TheLittleMermaid,,Capcom,Capcom,TheLittleMermaid
LittleNicky,,DigitalEclipse,UbiSoft,LittleNicky
LiveandLetDie,,EliteSystemsInternational,Domark,LiveandLetDie
TheLivingDaylights,,MelbourneHouseSculpturedSoftware,Domark,TheLivingDaylights
BackinAction,,WarthogGames,ElectronicArts,LooneyTunesBackinAction
TheLordoftheRingsAragornsQuest,,HeadstrongGames,WarnerBrosInteractiveEntertainment,LordoftheRingsfilmtrilogy
TheReturnoftheKing,,EARedwoodShores,EAGames,TheLordoftheRingsTheReturnoftheKing
TheThirdAge,,GriptoniteGames,ElectronicArts,LordoftheRingsfilmtrilogy
